id_bien,no_voie,type_voie,voie,b_t_q,type_bien,nb_piece,surface,id_commune
15876,125,,CHATEAU DE SALLES,,Maison,4,120,33498
15877,60,MAIL,FRANCOIS MITTERRAND,,Appartement,4,90,35238
15878,2,PL,DU MARCHE,,Appartement,2,57,36046
15879,10,ALL,HENRI FRENAY,,Appartement,3,108,38185
15880,57,RUE,DU VERCORS,,Appartement,2,68,38185
15881,125,ALL,DE LA DENT DE CROLLES,,Appartement,3,74,38249
15882,73,RUE,DE LA REPUBLIQUE,,Appartement,2,50,38474
15883,623,RTE,DE LA CROISETTE,,Appartement,1,35,38567
15884,30,RUE,CUVIER,,Appartement,3,58,42187
15885,6,RUE,DE L ETERNITE,B,Appartement,3,67,42207
15886,3,RUE,DU RIVAGE,,Appartement,4,71,42207
15887,32,RUE,DE LA REPUBLIQUE,,Appartement,4,120,42218
15888,47,RUE,DESIRE CLAUDE,,Appartement,1,19,42218
15889,4,RUE,GUY COLOMBET,,Appartement,2,40,42218
15890,33,RUE,PARMENTIER,,Appartement,2,45,44109
15891,3,RTE,DE ST SEBASTIEN,,Appartement,2,52,44109
15892,8,RUE,BONNE LOUISE,,Appartement,1,19,44109
15893,36,AV,DES PRELUDES,,Maison,4,80,44109
15894,10,RUE,DE L AIGLON,,Appartement,4,78,53130
15895,5239,RUE,DU PARC,,Appartement,3,79,56263
15896,115,AV,DE LA LIBERTE,,Appartement,3,63,59328
15897,26,RUE,JULES JUILLET,,Appartement,3,62,60175
15898,60,BD,DE LA MER,,Appartement,1,31,62604
15899,9001,RES,LES CYCLADES,,Maison,2,45,66171
15900,5326,RES,LES FLOCONS D'ARGENT,E,Appartement,2,24,73023
15901,54,FG,RECLUS,,Appartement,1,35,73065
15902,20,AV,DE LA REPUBLIQUE,,Appartement,4,100,74010
15903,5,RUE,DES ALPES,,Appartement,3,60,74012
15904,12,RUE,DES PETITS CARREAUX,,Appartement,1,29,75102
15905,56,RUE,HENRI BARBUSSE,,Appartement,4,70,75105
15906,28,RUE,DU DRAGON,,Appartement,3,48,75106
15907,36,PAS,DU DESIR,,Appartement,3,32,75110
15908,23,RUE,LOUIS BRAILLE,,Appartement,3,50,75112
15909,40,RUE,PASCAL,,Appartement,2,26,75113
15910,17,RUE,JOBBE DUVAL,,Appartement,2,29,75115
15911,283,RUE,LECOURBE,C,Appartement,3,86,75115
15912,62,AV,DES TERNES,,Appartement,2,105,75117
15913,101,RUE,DE PRONY,,Appartement,4,180,75117
15914,20,RUE,DARCET,,Appartement,1,15,75117
15915,25,AV,DE SAINT OUEN,,Appartement,4,68,75117
15916,7,IMP,ROBERT,,Appartement,2,28,75118
15917,27,RUE,CLAVEL,,Appartement,3,56,75119
15918,123,BD,DAVOUT,,Appartement,1,26,75120
15919,32,RUE,RENE BAHEUX,,Appartement,1,25,76351
15920,1,RUE,DU CHEF ST JEAN,,Appartement,2,57,78146
15921,6,ALL,DES AMETHYSTES,,Maison,5,103,78172
15922,6,RUE,DE BELFORT,,Appartement,2,43,78361
15923,20,RUE,DE DREUX,,Appartement,3,61,78362
15924,27,RUE,BASSE,,Appartement,2,50,78537
15925,40,RUE,GABRIEL PERI,,Appartement,1,28,78545
15926,110,AV,MARECHAL FOCH,,Appartement,1,19,78551
15927,11,RUE,ANTONIN DELZERS,,Appartement,3,114,82033
15928,9,RUE,PORTALIS,,Appartement,3,88,83016
15929,384,AV,ANDRE LEOTARD,B,Appartement,3,64,83061
15930,654,CHE,DE REPENTANCE,,Appartement,1,22,83129
15931,820,BD,DES ECOLES,,Appartement,3,63,83129
15932,22,AV,DE LA MER,,Appartement,1,31,83153
15933,9,RUE,EDMOND ROSTAND,,Appartement,2,49,91103
15934,13,RUE,DE LA LIBERATION,,Appartement,2,53,91115
15935,5,RUE,DU MARECHAL GALLIENI,,Appartement,3,64,91333
15936,33,RUE,DE PARIS,,Appartement,1,23,91477
15937,30,ALL,DES ROSES,,Maison,5,80,91579
15938,16,RUE,DU BARON DE NIVIERE,,Maison,4,83,91661
15939,28,RUE,PIERRE LOTI,,Appartement,3,73,91691
15940,72,AV,JEAN JAURES,,Appartement,3,51,92019
15941,10,RUE,DE L EGLISE,,Appartement,1,27,92019
15942,8,AV,ANATOLE FRANCE,,Appartement,2,43,92024
15943,24,RUE,DES COTES D AUTY,,Appartement,3,49,92025
15944,98,RUE,JEAN JAURES,,Appartement,1,28,92044
15945,88,AV,CHARLES DE GAULLE,B,Appartement,3,65,92051
